id,name,capacity,grass,city,state
4245,Fenway Park,38073,True,Boston,MA
4899,Fifth Third Bank Stadium,8318,,Kennesaw,GA
3720,Finley Stadium,20668,False,Chattanooga,TN
5885,First Security Stadium,5854,,Searcy,AR
3721,Fisher Field,13132,False,Easton,PA
3722,Fitton Field,23500,True,Worcester,MA
218,FIU Stadium,20000,False,Miami,FL
4417,Five Star Stadium at the Moye Complex,10200,False,Macon,GA
4420,Florida Tech Panther Stadium,0,,Melbourne,FL
3724,Floyd Casey Stadium,50000,False,Waco,TX
3726,Folsom Field,50183,True,Boulder,CO
3727,Ford Field,64500,False,Detroit,MI
3918,Foreman Field,20118,False,Norfolk,VA
5853,Francis Field (IL),2000,,Greenville,IL
5897,Francis Field (MO),4000,,Saint Louis,MO
5942,Francis G. Welch Stadium,10000,,Emporia,KS
6134,Frank Bailey Field,1600,,Schenectady,NY
5789,Frank B. Fuhrer Field,3500,,Meadville,PA
3730,Franklin Field,52593,False,Philadelphia,PA
6080,Frank M. Lindsay Field,4000,,Decatur,IL
3729,"Frank ""Muddy"" Waters Stadium",8500,,Hillsdale,MI
6054,Fred G. Hughes Stadium,7000,,Joplin,MO
6219,Fred J. Brown Athletic Complex,4500,,Defiance,OH
5840,Fred Selfe Stadium at Nicewonder Field,5500,,Meadowview,VA
6130,Fred Zollner Athletic Stadium,5000,,Angola,IN
5927,Freesen Field,1400,,Jacksonville,IL
5821,Fritz B. Burns Stadium,3000,,Claremont,CA
3731,Frost-Kalnow Stadium,4500,,Tiffin,OH
6062,Gable Field at Doc Wadley Stadium,8300,,Tahlequah,OK
3733,Garcelon Field,3500,,Lewiston,ME
6218,Garrett-Harrison Stadium,10000,,Phenix City,AL
5220,Garrison Stadium,5000,,Murfreesboro,TN
3734,Gayle and Tom Benson Stadium,6000,False,San Antonio,TX
3835,Gaylord Family Oklahoma Memorial Stadium,86112,True,Norman,OK
5127,Gene L. Shirk Stadium,5000,,Reading,PA
3871,General Charles C. Krulak Stadium,1600,,Birmingham,AL
5801,George Finnie Stadium,7800,,Berea,OH
4433,George P. Miller Stadium,6000,,Indiana,PA
6068,George Williams Athletic Complex,2500,,Raleigh,NC
3495,Georgia Dome,74228,False,Atlanta,GA
4246,Georgia State Stadium,25000,False,Atlanta,GA
3735,Gerald J. Ford Stadium,32000,False,University Park,TX
5814,Gesling Stadium,3500,,Pittsburgh,PA
3737,Gibbs Stadium,13000,True,Spartanburg,SC
3738,Gillette Stadium,68756,False,Foxborough,MA
3739,Glass Bowl,26038,False,Toledo,OH
6269,Globe Life Field,40000,,Arlington,TX
6143,Golden Bear Stadium,1500,,Springfield,MA
3740,Golden Lion Stadium,16000,False,Pine Bluff,AR
3741,Goodman Stadium,16000,False,Bethlehem,PA
5857,Gordon Wood Stadium,7500,,Brownwood,TX
3742,Governors Stadium,10100,False,Clarksville,TN
6060,Grace P. Johnson Stadium,4000,,Pembroke,NC
3748,Graham Stadium,7500,False,Martin,TN
6074,Grappone Stadium,4500,,Manchester,NH
3745,Greater Zion Stadium,10500,,Saint George,UT
4753,Greene Stadium,5000,,Liberty,MO
5920,Griswold Stadium,3000,,Portland,OR
6120,Growney Stadium,2500,,Rochester,NY
4293,Guaranteed Rate Field,40615,True,Chicago,IL
4029,Hale Stadium,10000,True,Nashville,TN
3744,Hancock Stadium,15000,False,Normal,IL
6526,Hancock Whitney Stadium,25450,False,Mobile,AL
3746,Hanson Field,16368,False,Macomb,IL
6153,Hanson Stadium,1100,,Forest Grove,OR
3747,Hantz Stadium,2500,,Midland,MI
3823,Hardee-McGee Field,3000,,Sewanee,TN
3948,Hard Rock Stadium,64767,False,Miami Gardens,FL
5908,Harley Knosher Bowl,6000,,Galesburg,IL
6030,Harms-Eischeid Stadium,3500,,Fayette,IA
6081,Harper Davis Field,3000,,Jackson,MS
3963,Harry Turpin Stadium,15971,False,Natchitoches,LA
3750,Harvard Stadium,30323,False,Boston,MA
3885,Harvey Randall Wickes Memorial Stadium,6800,,University Center,MI
3752,Heinz Field,68400,True,Pittsburgh,PA
6553,Helen and Leonard Moretz Stadium,8500,,Hickory,NC
3709,Hempstead Stadium,3000,,Beverly,MA
6209,Henry Biesiot Activities Center,0,,Dickinson,ND
5926,Henry G. Steinbrenner '27 Stadium,1000,,Cambridge,MA
6052,Herb Parker Stadium,4250,,Minot,ND
3754,High Point Solutions Stadium,52454,False,Piscataway,NJ
4765,Hillsboro Stadium,7600,False,Portland,OR
5854,Hoernemann Stadium,1300,,Tiffin,OH
5893,Hollingsworth Field,3000,,Saint Peter,MN
6093,Holmgren Athletic Complex,3000,,Chicago,IL
1930,Holt Arena,12000,False,Pocatello,ID
3756,Homer Bryce Stadium,14575,False,Nacogdoches,TX
5124,Homewood Field,8500,,Baltimore,MD
3757,Hornet Stadium,21195,False,Sacramento,CA
4582,Hornet Stadium,26500,False,Montgomery,AL
5848,Hotchkiss Field,1500,,Washington,DC
3796,Houchens Industries-L. T. Smith Stadium,22113,False,Bowling Green,KY
7003,Houck Field,10000,,Cape Girardeau,MO
3758,Houck Stadium,11015,False,Cape Girardeau,MO
6032,Hovey Field,10000,,Richmond,VA
3760,Hubert Jack Stadium,3500,,Lock Haven,PA
3762,Hughes Stadium,10000,False,Baltimore,MD
3749,Hunter Stadium,7450,,Saint Charles,MO
6069,Husky Stadium,4198,,Saint Cloud,MN
3765,Husky Stadium,70138,False,Seattle,WA
4424,Husky Stadium,5000,False,Houston,TX
5887,I.L. & Sue Morris Stadium,2800,,Glenville,WV
3766,Independence Stadium,52000,False,Shreveport,FL
3767,Indian Bowl,0,,Muskogee,OK
6109,Ingalls Field,3500,,Ripon,WI
6041,Irwin Belk Complex,4500,,Charlotte,NC
5781,Irwin Belk Stadium,3500,,Wingate,NC
3769,Jack Britt Memorial Stadium,3000,,Painesville,OH
150,Jack Coffey Field,7000,,Bronx,NY
3770,Jack Miller Stadium,6000,,Ashland,OH
6123,Jackson Field,4000,,Alpine,TX
3771,Jack Spinks Stadium,22500,False,Lorman,MS
3772,Jack Trice Stadium,61500,True,Ames,IA
4752,Jahna Field,0,,Winter Haven,FL
5825,Jake Christiansen Stadium,7000,,Moorhead,MN
6051,James S. Malosky Stadium,4500,,Duluth,MN
5852,Jamieson Stadium,10000,,Greensboro,NC
6076,Javelina Stadium,15000,,Kingsville,TX
3774,Jayne Stadium,10000,False,Morehead,KY
5798,Jerry E. Apple Stadium,2500,,Sherman,TX
4418,Jerry Richardson Stadium,15300,False,Charlotte,NC
6071,Jess Dow Field,6000,,New Haven,CT
6131,Jessee/Miller Field,5500,,Hartford,CT
3644,Jim Wacker Field at Bobcat Stadium,30000,False,San Marcos,TX
5120,J.J. Keller Field at Titan Stadium,9800,,Oshkosh,WI
5809,J. Leslie Rollins Stadium,3000,,Storm Lake,IA
3775,Joan C. Edwards Stadium,38016,False,Huntington,WV
3776,Joe Aillet Stadium,28019,False,Ruston,LA
3777,Joe Walton Stadium,3000,False,Moon Township,PA
4427,John A. Farrell Stadium,7500,,West Chester,PA
4829,John Clark Field,0,,Plano,TX
5898,John Coughlin Memorial Field,2000,,Worcester,MA
3778,John F. Kennedy Stadium,5200,False,Springfield,MO
6140,John F. Wiley Stadium,4000,,Waynesburg,PA
3725,"Johnny Red"""" Floyd Stadium""""",30788,False,Murfreesboro,TN
3781,Johnny Unitas Stadium,11200,False,Towson,MD
4728,John O'Quinn Field at TDECU Stadium,40000,False,Houston,TX
6127,John P. Papp Stadium,4500,,Wooster,OH
3782,Johnson Hagood Stadium,11427,True,Charleston,SC
3784,Jones AT&T Stadium,60454,False,Lubbock,TX
5800,Jopson Athletic Complex,3500,,Bridgewater,VA
3785,Jordan-Hare Stadium,87451,True,Auburn,AL
3662,JSU Stadium,24000,False,Jacksonville,AL
5832,Justin F. Coressel Stadium,4000,,Defiance,OH
7076,J.W. Babb Stadium,4000,,Greenwood,SC
5905,Kean Alumni Stadium,5300,,Union,NJ
3786,Kelly/Shorts Stadium,30255,False,Mount Pleasant,MI
3787,Kenan Memorial Stadium,50500,False,Chapel Hill,NC
3788,Kenneth P. LaValle Stadium,12300,False,Stony Brook,NY
3922,Kenneth R. Gill Stadium,1434,,Westminster,MD
4900,Kermit Tipton Stadium,6600,False,Johnson City,TN
3790,Kessler Field,4000,False,West Long Branch,NJ
5389,Kessler Stadium,4200,False,West Long Branch,NJ
6040,Key Stadium,5500,,Indianapolis,IN
3791,Kibbie Dome,16000,False,Moscow,ID
3792,Kidd Brewer Stadium,30000,False,Boone,NC
3793,Kinnick Stadium,69250,False,Iowa City,IA
5872,Kirkeby-Over Stadium,6500,,Sioux Falls,SD
5895,Klas Field,2000,,Saint Paul,MN
5813,Klein Field at Manitou,3500,,Northfield,MN
6117,Knight Stadium,1000,,Buena Vista,VA
5902,Knox Stadium,3000,,Huntingdon,PA
5936,Koi Ishto Stadium,5000,,Ada,OK
3794,Korb Field,0,,South Euclid,OH
3795,Kyle Field,102733,True,College Station,TX
3797,Ladd Peebles Stadium,33471,False,Mobile,AL
7079,Laird Stadium,7500,,Northfield,MN
3798,Lambeau Field,80735,True,Greenbay,WI
6044,Lane Field,2500,,Jackson,TN
3799,Lane Stadium,65632,True,Blacksburg,VA
5839,Langhorst Field,2500,,Elmhurst,IL
3800,Larry Wilcox Stadium,2500,,Atchison,KS
3801,LaVell Edwards Stadium,63470,True,Provo,UT
3802,Lawrence A. Wien Stadium,17000,False,Manhattan,NY
6223,Lawrence Tech Athletic Field,2300,,Southfield,MI
6113,Leckonby Stadium,1500,,Canton,NY
6047,Leemon Field,2000,,Lebanon,IL
5923,Legacy Field in Carlson Stadium,5000,,Decorah,IA
3803,Legion Field,72000,False,Birmingham,AL
3804,Legions Field (FL),0,,Lake Wales,FL
