team,stat_name,stat_value,season
Northwestern,possessionTime,16906,2020
SMU,interceptionTDs,1,2020
Duke,totalYards,4165,2020
UAB,passingTDs,14,2020
Southern Mississippi,penaltyYards,367,2020
Louisiana Tech,firstDowns,198,2020
Texas State,interceptions,14,2020
Florida,sacks,33,2020
Oregon State,passesIntercepted,5,2020
Western Michigan,tacklesForLoss,51,2020
Duke,passCompletions,219,2020
Oklahoma State,fourthDowns,10,2020
San Diego State,games,8,2020
New Mexico,rushingAttempts,289,2020
TCU,thirdDowns,143,2020
Nevada,fourthDownConversions,12,2020
Air Force,totalYards,2336,2020
Fresno State,interceptionYards,54,2020
Utah State,fourthDownConversions,5,2020
Notre Dame,tacklesForLoss,87,2020
Syracuse,rushingTDs,5,2020
Marshall,passesIntercepted,5,2020
South Alabama,passingTDs,18,2020
Fresno State,puntReturnTDs,0,2020
Boise State,netPassingYards,1693,2020
Memphis,fourthDowns,24,2020
Michigan State,penaltyYards,456,2020
Arizona,passesIntercepted,2,2020
Louisiana,netPassingYards,2290,2020
Tulane,kickReturnYards,602,2020
Virginia,passAttempts,379,2020
Stanford,interceptions,3,2020
Miami (OH),turnovers,2,2020
Illinois,totalYards,2782,2020
Northwestern,games,9,2020
Purdue,puntReturns,3,2020
Iowa State,totalYards,5239,2020
Coastal Carolina,passCompletions,191,2020
Maryland,passesIntercepted,2,2020
Washington State,thirdDowns,51,2020
Miami (OH),thirdDowns,42,2020
Purdue,fumblesLost,3,2020
Boise State,puntReturnTDs,2,2020
Washington,kickReturns,7,2020
Troy,puntReturnYards,96,2020
Rutgers,netPassingYards,1787,2020
Ohio,tacklesForLoss,11,2020
New Mexico,interceptionYards,76,2020
Akron,rushingAttempts,211,2020
Temple,rushingYards,978,2020
Notre Dame,kickReturns,23,2020
Georgia State,kickReturnTDs,0,2020
Kansas State,puntReturnTDs,2,2020
North Texas,thirdDowns,150,2020
Arkansas State,tacklesForLoss,76,2020
Penn State,netPassingYards,2298,2020
San José State,kickReturns,19,2020
Rice,netPassingYards,1076,2020
Louisville,passesIntercepted,5,2020
California,kickReturnYards,55,2020
Colorado,thirdDowns,96,2020
Indiana,interceptions,5,2020
Louisville,possessionTime,20775,2020
Boise State,totalYards,2434,2020
LSU,passingTDs,24,2020
Maryland,possessionTime,7296,2020
Marshall,puntReturns,21,2020
Wisconsin,kickReturnTDs,0,2020
Illinois,kickReturnYards,400,2020
UAB,interceptions,9,2020
Iowa,puntReturnYards,223,2020
Alabama,interceptionYards,212,2020
Middle Tennessee,puntReturnYards,18,2020
Memphis,rushingTDs,9,2020
Kansas State,kickReturns,34,2020
Georgia Tech,totalYards,3895,2020
San Diego State,kickReturnYards,430,2020
Louisiana Tech,interceptionTDs,1,2020
Western Kentucky,puntReturnTDs,0,2020
Middle Tennessee,fumblesLost,6,2020
Indiana,fumblesLost,6,2020
New Mexico,puntReturnTDs,0,2020
Oklahoma State,passCompletions,207,2020
Fresno State,penaltyYards,287,2020
Akron,kickReturnTDs,0,2020
Toledo,netPassingYards,1955,2020
Kansas,rushingTDs,9,2020
Missouri,kickReturnTDs,0,2020
Oregon,interceptionTDs,1,2020
Eastern Michigan,penalties,29,2020
Appalachian State,fourthDowns,20,2020
Texas Tech,passAttempts,395,2020
UTEP,tacklesForLoss,47,2020
UCF,turnovers,10,2020
Marshall,rushingYards,1784,2020
Duke,firstDowns,237,2020
Kansas State,thirdDowns,127,2020
Houston,kickReturnYards,425,2020
Rutgers,passAttempts,309,2020
Ole Miss,totalYards,5566,2020
Akron,interceptionYards,44,2020
Air Force,kickReturns,1,2020
Liberty,interceptionTDs,0,2020
Florida,fourthDownConversions,7,2020
Florida,kickReturnTDs,0,2020
Louisiana Tech,possessionTime,18162,2020
UNLV,sacks,14,2020
Michigan,turnovers,6,2020
Georgia,puntReturnYards,136,2020
Kent State,thirdDownConversions,32,2020
Toledo,puntReturns,17,2020
BYU,rushingAttempts,424,2020
Iowa State,kickReturnYards,561,2020
Oregon,penaltyYards,371,2020
Charlotte,rushingAttempts,237,2020
Duke,rushingAttempts,438,2020
Baylor,puntReturnYards,43,2020
Texas Tech,puntReturns,18,2020
Penn State,rushingYards,1569,2020
Marshall,puntReturnYards,175,2020
Air Force,puntReturnYards,5,2020
Wake Forest,passesIntercepted,13,2020
Bowling Green,fourthDowns,14,2020
Southern Mississippi,netPassingYards,2113,2020
Hawai'i,thirdDowns,137,2020
Florida International,interceptionYards,55,2020
Arizona State,kickReturnTDs,1,2020
Washington State,passesIntercepted,2,2020
South Florida,fourthDownConversions,7,2020
Houston,fumblesRecovered,3,2020
Indiana,netPassingYards,2011,2020
Troy,passingTDs,22,2020
Boise State,sacks,18,2020
Utah,passAttempts,156,2020
South Florida,fumblesRecovered,3,2020
Rice,interceptionTDs,1,2020
Tulane,rushingTDs,32,2020
Michigan State,sacks,12,2020
Middle Tennessee,passesIntercepted,8,2020
Vanderbilt,firstDowns,180,2020
Ole Miss,passesIntercepted,6,2020
San Diego State,fumblesRecovered,5,2020
Iowa State,kickReturnTDs,0,2020
Kansas,turnovers,14,2020
Air Force,puntReturnTDs,0,2020
SMU,puntReturnTDs,0,2020
