play_id,game_id,week,season,team,opponent,team_score,opponent_score,yards_to_goal,down,distance,stat_type,stat
401235993102958608,401235993,4,2020,Kansas,Baylor,7,17,61,3,9,Target,1
401235993102958607,401235993,4,2020,Kansas,Baylor,7,17,60,2,8,Rush,-1
401235993101947510,401235993,4,2020,Kansas,Baylor,7,7,33,1,10,Incompletion,1
401235993101947510,401235993,4,2020,Kansas,Baylor,7,7,33,1,10,Target,1
401235993101947504,401235993,4,2020,Kansas,Baylor,7,7,75,1,10,Rush,5
401235993101947505,401235993,4,2020,Kansas,Baylor,7,7,70,2,5,Rush,0
401235993101947507,401235993,4,2020,Kansas,Baylor,7,7,57,1,10,Rush,6
401235993101947509,401235993,4,2020,Kansas,Baylor,7,7,52,3,5,Rush,4
401235993101947511,401235993,4,2020,Kansas,Baylor,7,7,33,2,10,Rush,-5
401235993101947511,401235993,4,2020,Kansas,Baylor,7,7,33,2,10,Fumble,1
401235993101947512,401235993,4,2020,Kansas,Baylor,7,7,39,3,16,Completion,3
401235993101947512,401235993,4,2020,Kansas,Baylor,7,7,39,3,16,Reception,3
401235993101947506,401235993,4,2020,Kansas,Baylor,7,7,70,3,5,Completion,13
401235993101947506,401235993,4,2020,Kansas,Baylor,7,7,70,3,5,Reception,13
401235993103957201,401235993,4,2020,Kansas,Baylor,7,31,68,1,10,Rush,3
401235993103957202,401235993,4,2020,Kansas,Baylor,7,31,65,2,7,Rush,-1
401235993103957203,401235993,4,2020,Kansas,Baylor,7,31,66,3,8,Sack Taken,1
401235993103909207,401235993,4,2020,Kansas,Baylor,7,31,64,2,10,Rush,4
401235993103909205,401235993,4,2020,Kansas,Baylor,7,31,72,2,7,Completion,8
401235993103909205,401235993,4,2020,Kansas,Baylor,7,31,72,2,7,Reception,8
401235993103909206,401235993,4,2020,Kansas,Baylor,7,31,64,1,10,Incompletion,1
401235993103909206,401235993,4,2020,Kansas,Baylor,7,31,64,1,10,Target,1
401235993103909209,401235993,4,2020,Kansas,Baylor,7,31,65,3,11,Completion,3
401235993103909209,401235993,4,2020,Kansas,Baylor,7,31,65,3,11,Reception,3
401235993103909204,401235993,4,2020,Kansas,Baylor,7,31,75,1,10,Rush,3
401235993102919204,401235993,4,2020,Kansas,Baylor,7,10,75,2,10,Rush,3
401235993102919205,401235993,4,2020,Kansas,Baylor,7,10,72,3,7,Rush,0
401235993102919203,401235993,4,2020,Kansas,Baylor,7,10,75,1,10,Incompletion,1
401235993102919203,401235993,4,2020,Kansas,Baylor,7,10,75,1,10,Target,1
401234593103934101,401234593,4,2020,Florida State,Miami,10,38,6,1,6,Rush,1
401234593103917701,401234593,4,2020,Florida State,Miami,10,38,53,1,10,Incompletion,1
