id,first_name,last_name,position,team_id
1242,Jason,Terry,,1
1243,Cal,Bowdler,,1
1244,Dion,Glover,,1
1245,Richard,Hamilton,,30
1246,Laron,Profit,,30
1247,Elton,Brand,F,5
1248,Michael,Ruffin,,5
1249,Metta,World Peace,,5
1250,Dedric,Willoughby,,5
1251,Wally,Szczerbiak,F,18
1252,William,Avery,,18
1253,Rick,Hughes,,7
1254,Leon,Smith,,7
1255,Lazaro,Borrell,,21
1256,Jermaine,Jackson,,9
1257,Chris,Herren,,8
1258,John,Celestand,,14
1259,Lari,Ketner,,5
1260,Tim,Young,,10
1261,DeMarco,Johnson,,20
1262,A.J.,Bramlett,,6
1263,Harold,Jamison,,16
1264,Jonathan,Bender,,12
1265,Jamel,Thomas,,2
1266,Evan,Eschmeyer,,3
1267,Greg,Buckner,,7
1268,Tim,James,,16
1269,Rafer,Alston,,17
1270,Ira,Bowman,,23
1271,Derrick,Dial,,27
1272,Calvin,Booth,,30
1273,Maceo,Baston,,17
1274,Jamaal,Magloire,,4
1275,Hanno,Mottola,F,1
1276,DerMarr,Johnson,,1
1277,Pepe,Sanchez,,23
1278,Lavor,Postell,,20
1279,Chris,Mihm,,6
1280,Stephen,Jackson,F,3
1281,Kenyon,Martin,F,3
1282,Soumaila,Samake,,3
1283,Desmond,Mason,G,21
1284,Ruben,Wolkowyski,,21
1285,Stromile,Swift,,15
1286,Joel,Przybilla,,17
1287,Michael,Redd,,17
1288,Eduardo,Najera,F,7
1289,Courtney,Alexander,,7
1290,Hedo,Turkoglu,,26
1291,Khalid,El-Amin,G,5
1292,Marcus,Fizer,,5
1293,A.J.,Guyton,,5
1294,Dragan,Tarlac,,5
1295,Darius,Miles,G,13
1296,Keyon,Dooling,,13
1297,Quentin,Richardson,,13
1298,DeShawn,Stevenson,,29
1299,Mike,Miller,,22
1300,Mark,Madsen,,14
1301,Erick,Barkley,,25
1302,Mateen,Cleaves,,9
1303,Morris,Peterson,,28
1304,Jason,Collier,,11
1305,Daniel,Santiago,,24
1306,Paul,McPherson,,24
1307,Ruben,Garces,,24
1308,Jake,Tsakalidis,,24
1309,Marc,Jackson,,10
1310,Chris,Porter,,10
1311,Jamal,Robinson,,16
1312,Eddie,House,,16
1313,Jerome,Moiso,,2
1314,Mark,Blount,,2
1315,Dan,Langhi,,11
1316,Garth,Joseph,,28
1317,Jake,Voskuhl,,5
1318,Mike,Penberthy,,14
1319,Lee,Nailon,,4
1320,Zendon,Hamilton,,13
1321,Terrance,Roberson,,4
1322,Dalibor,Bagaric,,5
1323,Ira,Newble,,27
1324,Donnell,Harvey,,7
1325,Brian,Cardinal,,9
1326,Slava,Medvedenko,,14
1327,Olumide,Oyedeji,,21
1328,Andy,Panko,,1
1329,Jabari,Smith,,26
1330,Mamadou,N'diaye,,28
1331,Sean,Colson,,1
1332,Art,Long,,26
1333,Mike,Smith,,30
1334,David,Vanterpool,,30
1335,Steve,Goodrich,,5
1336,Eddie,Gill,,3
1337,Wang,Zhi-zhi,,7
1338,Dan,McClintock,,8
1339,Raja,Bell,,23
1340,Jason,Hart,,17
1341,Vladimir,Radmanovic,,21
1342,Earl,Watson,,21
1343,Gerald,Wallace,,26
1344,Jamaal,Tinsley,G,12
1345,Primoz,Brezec,,12
1346,Richard,Jefferson,,3
1347,Brandon,Armstrong,,3
1348,Jason,Collins,,3
1349,Carlos,Arroyo,,28
1350,Michael,Bradley,,28
1351,Steven,Hunter,,22
1352,Andrei,Kirilenko,,29
1353,Alton,Ford,,24
1354,Charlie,Bell,,24
1355,Speedy,Claxton,G,23
1356,Damone,Brown,,23
1357,Loren,Woods,,18
1358,Eddie,Griffin,,11
1359,Oscar,Torres,,11
1360,Tierre,Brown,,11
1361,Terence,Morris,,11
1362,Zeljko,Rebraca,,9
1363,Rodney,White,,9
1365,Joseph,Forte,,2
1366,Kedrick,Brown,,2
1367,DeSagana,Diop,,6
1368,Kwame,Brown,,30
1369,Bobby,Simmons,,30
1370,Etan,Thomas,,30
1371,Ruben,Boumtje-Boumtje,,25
1372,Jason,Richardson,,10
1373,Troy,Murphy,,10
1374,Gilbert,Arenas,,10
1375,Trenton,Hassell,,5
1376,Eddy,Curry,,5
1377,Tang,Hamilton,,16
1378,Shane,Battier,F,15
1379,Will,Solomon,,15
1380,Antonis,Fotsis,,15
1381,Alvin,Jones,,23
1382,Jeff,Trepagnier,,6
1383,Joe,Crispin,,14
1384,Ernest,Brown,,16
1385,Jarron,Collins,,29
1386,Jamison,Brewer,,12
1387,Malik,Allen,,16
1388,Predrag,Drobnjak,,21
1389,Chris,Andersen,,8
1390,Kenny,Satterfield,,8
1391,Brendan,Haywood,,30
1392,Kirk,Haston,,4
1393,Samuel,Dalembert,,23
1394,Mike,James,,16
1395,Maurice,Evans,,18
1396,Jeryl,Sasser,,22
1397,Dean,Oliver,,10
1398,Norman,Richardson,,12
1399,Brian,Scalabrine,,3
1400,Ratko,Varda,,9
1401,Tremaine,Fowlkes,,13
1402,Mengke,Bateer,,8
1403,Ike,Fontaine,,15
1404,Ansu,Sesay,,21
1405,Omar,Cook,,2
1406,John,Salmons,,23
1407,Efthimios,Rentzias,,23
1408,Pat,Burke,C,22
1409,Ryan,Humphrey,,22
1410,Carlos,Boozer,,6
1411,Smush,Parker,,6
