id,season,home_id,home_team,away_id,away_team
401431974,2022,2687,Washburn,90,Pittsburg State
401431075,2022,2042,Augustana (IL),2106,Carthage
401432902,2022,2744,UW-Stout,2745,UW-Whitewater
401435208,2022,272,Wisconsin-Platteville,2738,Wisconsin-Eau Claire
401432894,2022,2740,Wisconsin-La Crosse,2723,UW-River Falls
401435102,2022,2600,St. Johns (MN),2101,Carleton
401433138,2022,351,Wingate,2444,Newberry
401432523,2022,2810,Hardin-Simmons,2045,Austin College
401432855,2022,509,Crown College,583,Northwestern (MN)
401431286,2022,2155,Cornell College (IA),255,Knox College
401431316,2022,2044,Aurora,6353,Lakeland University
401431292,2022,65,Grinnell,2286,Illinois College
401432541,2022,74,Millikin,32,Carroll (WI)
401432566,2022,409,Concordia (WI),2741,Wisconsin Lutheran
401431135,2022,2262,Hanover,86,Rose-Hulman
401432861,2022,2359,Macalester,375,St. Scholastica
401432808,2022,3,Birmingham-Southern,2121,Centre
401436996,2022,133,St. Olaf College,2968,Gustavus Adolphus
401432739,2022,2079,Bridgewater (VA),2688,Washington & Lee
401430958,2022,6845,Nebraska Wesleyan University,2141,Coe
401424400,2022,2210,Elon,399,Albany
401421114,2022,2674,Valparaiso,2900,St. Thomas (MN)
401431263,2022,266,Beloit College,262,Lake Forest
401431325,2022,2151,Concordia (IL),2283,Benedictine (IL)
401435215,2022,2743,Wisconsin-Stevens Point,271,UW-Oshkosh
401426366,2022,295,Old Dominion,276,Marshall
401421134,2022,2643,The Citadel,236,Chattanooga
401428194,2022,2803,Bryant,2097,Campbell
401432401,2022,132,Bemidji State,425,Northern State
401432410,2022,2043,Augustana (SD),134,Minnesota-Duluth
401431523,2022,2586,Southwest Baptist,2825,Quincy
401431497,2022,2911,William Jewell College,2292,Indianapolis
401433042,2022,611,Seton Hill College,2385,Mercyhurst
401433085,2022,2123,Chadron State,11,Colorado Mesa
401433004,2022,2291,Indiana (PA),2134,Clarion
401439516,2022,2206,Edward Waters,124110,UFTL
401430966,2022,263,Loras College,49,Dubuque
401431084,2022,75,North Park,72,Elmhurst
401431239,2022,2152,Concordia (MN),162,Hamline
401431254,2022,124,Augsburg,2802,Bethel (MN)
401431272,2022,268,Lawrence,80,Chicago
401431281,2022,2919,Monmouth (IL),2891,Ripon
401428479,2022,2635,Tennessee Tech,2815,Lindenwood
401431951,2022,138,Northwest Missouri State,2403,Missouri Southern State
401432801,2022,2553,Sewanee Univ. of the South,2757,Berry College
401431456,2022,2927,Southwestern Oklahoma,2264,Harding
401404104,2022,201,Oklahoma,239,Baylor
401462226,2022,2916,Incarnate Word,2277,Houston Christian
401413241,2022,70,Idaho,331,Eastern Washington
401462227,2022,2837,Texas A&M-Commerce,2466,Northwestern State
401430747,2022,2191,East Central,2028,Arkansas-Monticello
401425457,2022,2692,Weber State,16,Sacramento State
